sommer--ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	micha-ii-48	lancellotto-ii-48
	çierto dixo donçella 					
	enmelo deçir 					
Sire certes dist elle 	no aueredes vos daño si auos pluguiere  e vos dezidmelo por conuenençia 	Certes fait elle 	Certes sire fait ele 	Certes sire 	Certes,  sire, 	Certo, sire, diss’ella, 
					fet ele, 	
se iou y qui doie auoir aucun preu iou le vous diroie 	que vos ayude yo a todo mi Poder  en todas las cosas 	si ie y cuidoye auoir preu ie le uous diroye. 	se ie i cuidoie auoir preu ie le uos diroie. 	se ie y cuidoie auoir prouffit ie uous le diroie. 	se je i' cuidoie avoir preu,  je le vos diroie. — 	s’i vi credesse avere pro, si 'l vo dire' io. — 
Damage fait il  ni aurois vous ia se dieu plaist. 	que hubieredes menester  e espeçialmente enesta  por que vos llorades 	Dommaige fait il ny aurez uous pas si dieu plaist. 	Damage fait il  ni aurez uos ia se dieu plait. 	Dommage fait il ny aurez uous ia se dieu plaist. 	Damage,  fet il,  ll’i avrez vos ja,  se Dieu plest, 	Damaggio,  disse Lancellotto,  non ci arete vo' già,  se Dio piace, 
Dites le moi par tel conuent  que se iou vous puis aidier a esclairier vostre cuer iou le ferai a mon pooir. 	Ca yo porne enello el mejor Remedio  que puede ser  si es cosa  que vos pueda ayudar 	Mais dictes le moy par conuent  que si ie uous puis aider a uous aider.  it uous aideray a mon pouoir. 	Mais dites le moi par couant  que ie uos en aiderai a eslaicier.  a mon paoir 	car se ie uous puis aider ie uous aideray a esclercir uostre cueur a mon pouoir. 	mais dites le moi par covent  que, se je vos puis aidier a vos esleecier,  je vos aiderai a mon pooir. — 	ma ditelme per convento  che, s’i vo ne posso aiutare o consigliare,  io vo n’atrò di tutto mio podere. — ll 
					En non Dieu, 	
			ce ie uos en puis aidier. 			
Enon dieu sire fet elle  dont le vous dirai iou  IL fu voirs 	Enel nombre de dios  dixo la donçella  pues vos os afincades tanto 	En nom dieu sire fait elle  dont uous diray ie.  Il est uoir 	En non dieu sire fait ele  dont ie uos dirai ge.  Il est uoirs 	Par dieu sire denc fait elle le uous diray ie.  Il fut uoir 	sire,  fet ele,  donc le vos dirai je.  ll est voirs 	A nome di Dio,  diss’ella,  dunque il vo dirò io.  Egli è vero 
que melyagans li fiex au roy baudemagu ala a la cort au roy artu  pour la royne genieure conquiere. 	que vos diga enque manera es  e que cosa es lo porque yo lloro yo voslo dire 	que meleagant le filz du rop bandemagu alla a la court du roy artus  pour conquerre la royne genieure sil eust peu. 	que meleagant li fiz le roi bademagu ala oan a la cort le roi artu.  Por la roine reconquerre  ce il peust. 	que meleagant le filz du roy bademagus alla a la court du roy artus pouc la royne genieure conquerre. 	que Meleagans, li fiz al roi Baldemagu, ala a la cort le roi Artu por la roine Genievre conquerre,  s’il peust; 	che Meleagante, il figliuolo del re Bando di Maguzo,  andò uguanno alla corte del re Artù  per la reina Ginevra conquidere,  se potesse. 
Et endementres fist tant vne damoisele 	asi es que fiço tanto vna donçella 	Cependant fist tant une damoisele 	et andementiers fist tant une damoisele 	En dementiers fist tant une damoiselle 	et endementiers fist tant une damoisele 	eE dimentre,  fece tanto una damigella 
qui sa suer estoit. 	Que hera hermana de Meliangas 	qui estoit sa seur 	qui estoit suers meleagan: 	qui sa seur estoit 	qui estoit?  sa suer 	ch’era sua serocchia 
que elle geta lancelot de prison dune tour  ou il estoit mis : 	que saco dela prision a lançarote  quelo tenia envna torre Meliangas 	quelle gecta lancelot du lac dune tour  ou meleagant lauoit mis en prison 	que ele ieta lanc̃ dune tor ou meleagans lauoit mis en prison. 	que elle iecta lancelot hors de prison de une tour  la ou il lauoit mis. 	qu’ele geta Lancelot d’une tor  ou Meleagans l’avoit mis en prison, 	ch’ella gittò Lancellotto di Lac d’una torre  ove Meleagante l’avea messo in pregione, 
iou ne sai porcoi  Ouant elle lot deliure.  si le tint aueques li. 	no sabia porque e quando el fue libre  ella lo tubo en su poder  fastaque fue guarido 	ie ne scay pour quoy  Quant elle leut deliure  si le tint auecquez luy 	et puis lenuoia a la cort le roi artu 	Quant elle leust deliure  elle le tint auec elle 	ne sai por quoi.  Quant ele l’ot delivré,  si le tint avec li 	non so perché. Quand’ella l’ebbe dilivero,  si l tenne con esso lei non so quanto, 
tant quil fu garis  Car moult auoit eu mesaise en la prison.  Et Io puis quant il fu garis  si lenvoia a la cort au roy artu  ou il ochist melyagant chou sauons nous bien. 	ca mucho auia enpeorado dela prision  e des que fue guarido  fuese ala corte del Rey Artur  e Mato alla a meliangas  segund cuido 	tant quil fu guery.  car moult auoit eu mesaise en la prison.  Et puis lenuoya a la court du roy artus  ou il occist meleagant  ce scauons nous ores bien. 	ou il ocit .mel̾.  ci sauons nos ore bien. 	tant qu il fut gary:  et moult y auoit eu mesaise.  et puis lenuoia a la court du roy artus  la ou il occist meleagant. 	tant qu’il fu garis,  kar molt avoit eu mesaise en la prison,  et puis l’envoia a la cort le roi Artu  ou il ocist Meleagan,  ce savons nos or bien. 	tanto ch’ella el guari,  ché molto avea avuto misaggio nella prigione.  Quand’e fu tornato a guarigione,  sillo inviò alla corte del re Artù,  ov’elli uccise Meleagant,  ciò sapiamo noi ora bene. 
Mais si tost que si parent le sorent 	que oystes  mas tan ayna como sus parientes lo supieron 	mais si tost que les parens meleagant sceurent 	mais si tost com cil parent sorrent 	mais tantost que ses parens sceurent 	Mais si tost com li parent sorent 	Ma si tosto come i parenti di Meleagante seppono 
que elle auoit lancelot gete de prison  Si distrent  que elle lauoit fet pour melyagant ocirre  Si le pristrent a force et locoisonnerent de sa mort. 	que ella auia hechado dela prision a lançarote  Dixeron quelo auia fecho  por amor de Meliangas delo matar  e tomaronla afuerça  e pusieronla en prision 	quelle auoit oste lancelot de la prison  si distrent  quelle lauoit fait  pour occire meleagant.  Et la prindrent a force et laccuserent de sa mort 	que ele auoit iete lanc̾ de prison;  si dirrent  que ele lauoit fait por mes. ocirre.  Si la prissent a force  et locoisonent de sa mort. 	que elle auoit iecte lancelot hors de prison  ilz la occuperent de la mort de meleagant. 	qu’ele avoit Lancelot osté de la prison,  si distrent  qu’ele l’avoit fait por Meleagan ocirre;  si le pristrent a force  et l’acheisonerent de sa mort 	ch’ella avea tratto di pregione Lancellotto,  sì dissono ch’ella l’avea fatto per Meleagante uccidere,  si-lla presono a forza  e la cagionarono di sua morte, 
Et distrent  que se elle ne trouuast 	e dixeron  que si no fallare 	et distrent  que selle ne trouuoit 	et dirent  que cele ne trouoit 	et fut dit  que se elle ne trouuoit 	et distrent  que, s’ele ne trovoit 	e dissono che, s’ella non trovasse chilla difendesse, 
qui len deffendist  que on feroit de li autel iustice 	quien la defender de aquesto  que farian della grand justiçia 	qui la dessendist  quilz feroient telle iustice de lie 	qui la desfandit  quil feroient de li iustice 	qui la deffendist  que len feroit de elle telle iustice 	qui l’en desfendist.  qu'il feroient de lui justice si grant 	ch’elli farebono giustitia di lei 
com on deueroit faire de femme 	Como deuen de fazer de muger 	que len deuroit faire de femme 	tele com len deuoit faire de fame 	que len deuoit faire de femme 	com l’en doit fere de cele 	si grande come l’uomo dee fare di femina 
qui son frere auoit ocis. 	que asu hermano auia muerto 	qui son frere a occis. 	qui son frere ocist. 	qui son frere auoit occis. 	qui son frere ocist. 	che suo fratello uccide. 
Et elle dist 	e ella dixo 	Et elle dist 	et ele dist 	Et elle dit 	Et ele dist 	Ed ella disse 
quele le trouueroit bien 	que bien fallaria  quien la defendiese 	quelle trouueroit bien  qui la defendroit 	que le troueroit bien  qui la desfanderoit. 	que elle trouueroit bien  qui len deffendroit. 	qu’ele troveroit bien 	ch’ella il troverebbe bene  chi ne la difenderebbe, 
Si mist iour dun cheualier amener auant.  pour li desfendre. 	e luego pusieronle dia señalado  Parase defender Por cauallero  e ella ymbio a buscar 	si a mis iour damener auant ung cheualier  pour la deffendre. 	Si mist ior damener .i. cheualier por li desfandre. 	Si lui fut iour determine  de trouuer ung cheualier  pour elle deffendre. 	qui la desfendroit:  si mist jor d’amener I. chevalier  por li desfendre, 	sì ànno messo giorno d’a- menare uno cavaliere per lei difendere, 
Si sen est puis pourchascie en pluisors lieus. 	por muchos lugares  quien le defendiese 	si sest puis pourchacee en plusieurs lieux. 	Si cest puis porchacie en plusors lieus. 	Et elle a depuis pour chasse en plusieurs lieux 	si s’est puis porchaciee en Pluisors liex, 	si se n’è poscia procacciata in più luogora, 
mais onques ne troua cheualier 	mas nunca a podido fallar Cauallero 	mais oncquez ne trouua cheualier 	mais onques ne troua cheualier 	mais oncques ne trouua cheualier 	mais onques ne trova chevalier 	ma unque non trovò ancor cavaliere 
qui sez armes en osast prendre encontre celui 	que armas quiera tomar  contra aquel Cauallero 	qui armes en osast prendre encontre celuy 	qui ses armes en ossast prandre encontre celui 	qui ses armes osast prendre centre 	qui ses armes en osast prendre contre celui 	che sue armi osasse imprendere incontro a colui 
qui apelee len auoit. 	que deste pleito la a Reptado 	qui lauoit appellee. 	qui apelee len auoit. 	celui qui lauoit appelle. 	qui apelee l’avoit. 	che apellato l’à. 
Ore est la chose tant alee  que li iors fu atermines a hui. 	e el Plazo se cumple Mañana 	Ores est tant la chose alee  que le iour est termine a huy. 	Or si est tant la chose alee  que li iors fu A termines a hui. 	Or est tant la chose allee  que le iour est ennuy termine: 	Or si est tant la chose alee  que li jors est aterminés a hui ; 	IOr si è tanto la cosa andata  che 'l giorno est aterminato a oggi, 
si na trouue nul desfendeour  Et pour chou dient li vn et li autre 	ental manera que si fasta ora de terçia no falla defensor 	si na encor trouue la pucele nul deffendeur.  Et par ce dient les ungs et les autres 	Si ne trueue la pucele nul desfandeor.  et por ce dient et li un et li autre 	si na trouue nul desfendeur. 	si n’a trové la pucele nul desfendeor  et por ce dient li un et li autre 	si non à ancor trovato la pulcella difenditore,  e perciò dicono gli uni e gli altri 
quele est atainte del mesfait  que on li a mis sus.  si lont iugiee lal ardoir le matin.  Et pour chou  quil men ramenbroit ore ploroie iou 	tomaran della luego vengança  e la vengança sera tal  que la Quemaran  e poresto lloro yo asi tan fuertemente 	quelle est atainte du meffait  que len luy mect sus.  si lont iugee si mest aduis a ardoir le matin.  Et pour ce quil men menbroit ores plouroye ie si fort. 	que ele est atainte dou meffait :  que len li met sus.  Si lont iugie ce mest uis le matin a ardoir.  et por ce quil men menbroit ore ploroie ge si durement. 	et pource lont iugiee a estre arse au matin  et cest la cause  qui me fait plourer 	qu’ele est atainte del meffet  que l’en li met sus :  si l’ont jugiee,  ce m’est vis,  a ardoir le matin  et por ce qu’il m’en membroit,  or em ploroie je si durement, 	ch’ella è agiunta del misfatto  che l’uomo le mette suso.  Si-ll’anno giudicata,  ciò m’è aviso,  ad ardere domattina,  e per ciò che me ne ricordo,  ora quand’io vo vidi piagnea io si duramente, 
Car elle estoit vne des plus hautes damoiseles del monde et des plus uaillans 	porque aquella es vna delas altas donzellas del mundo 	car elle estoit une des plus uaillans et des plus courtoises damoiseles du monde  De celle mesmes matiere dessus dicte. 	Car certes ele est une des plus cortoises damoileles dou monde  et une des plus uaillans. 	car elle estoit une des plus haultes damoiselles du monde:  et des plus uaillantes. 	kar certes ele estoit une des plus cortoises damoiseles ! del monde et une des plus vaillans. — 	ché certo ella era una delle più belle  e delle più cortesi damigelle del mondo 
						e una delle più valentri». 
CAr me dites  dont damoisele fait lancelot. 	agora me deçid  donçella dixo lançarote	Or me dictes damoisele fait lancelot 	Or me dites damoisele fait lanc̃. 	OR me dictes damoiselle fait lancelot 	Or me dites,  damoisele,  fet Lancelos, 	Or mi dite,  damigella,  disse Lancellotto, 
se elle trouoit demain  O qui le desfendist dont: 	si ella fallase  tras quien la defendiese 	et selle trouuoit demain qui la deffendist 	se le trouoit  qui la desfendist 	se elle trouuoit demain  qui la deffendist 	et s’ele trovoit demain  qui la deffendist, 	s’ella trovasse domane  chi ne la difendesse, 
ne seroit elle quite del iugement. 	seria ella quita del todo 	ne seroit alle pas  quicte du iugenent 	dont ne seroit ele quite del iugement 	ne seroit elle pas quicte du iugement. 	dont ne seroit ele quite del jugement 	dunque non sarebbe ella cheta del giudicamento 
						che l’uomo l’à fatto? - 
						Sire, 
					que l’en a fet ? — 	
					Sire, 	
Sire fait elle iou ne sai. 	señor dixo ella no se 	que lon a fait.  Sire fait elle ie ne scay. 	que len li a fait. sire fait ele ie ne sai. 	Sire  dit elle ie ne scay. 	fet ele,  je ne sai. — 	disse ella,  i' non sO. — 
						Est ciò, 
					Et est ce, 	
					fet il, 	
Et est chou fait il loing de ci. 	E es muy lexos de aqui 	et est ce fait il gueres loing quelle est. 	et esse fai il gaires long. 	Et esse fait il gaires loingz dicy. 	gaires loing  que ele est ? — 	diss’elli,  guari lungi dov’ella est? — 
Sire fait elle il  ni a que vi lieues englesches. 	ado ella esta dixo lançarote  señor dixo ella no ay  mas de aqui alla de seis leguas ynglesas 	Sire fait elle il ny a que six lieues anglesches. 	sire il ni a que .ui. lieues englesches. 	Sire  dit elle il ny a que six lieues anglesches/ 	Sire.  fet ele,  il n’i a que. VI. lieues englesches. 	Sire,  disse ella,  e' non ci à  che sei leghe 
Se vous moues demain matin vous y seres dedens prime 	e si quisieredes  Bien podedes yr alla a ora de Prima 	se uous leuiez demain matin uous y seriez auant prime 	se uous leuiez demain matin uus i seriez ains tierce. 	et se uous partiez demain matin uous y seriez demain a prime. 	Se vos leviés demain matin,  vos i seriés ains prime. — 	inghilesche:se vo' vi levate domane mattino  vo' vi sarete inanzi prima. 
