sommer--ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	micha-ii-48	lancellotto-ii-48
qui la damoisele tenoient  si fiert le premier quil encontre si durement 	aquellos que la donçella tenian  e firio al primero 	qui tenoient la damoisele  et fiert si fort le premier  quil actaint 	qui la damoisele renoient  que il consieut 	qui la damoiselle tenoient:  et fiert tellement le premier quil encontre 	qui la damoisele tenoient et fiert si le premier 	anzi muove il cavallo inverso di coloro  che lla T tenieno  e fiede si il primaio  ch’elli agiugne 
quil li met le glaiue parmi le cors  si labat a la terre. 	que encontro en tal manera que le metio la lança porel cuerpo 	quil luy mect le glaiue parmy le corps si labat a terre 	quil li met le glaiue parmi le cors  si labat mort aterre. 	qu il lui met le glauie parmy le corps  si labat a terre 	qu’il aconsieut  qu’il li met le glaive par mi le cors,  si l’abat a terre, 	che gli mette la lancia per me' il corpo,  si-llo abatte a terra, 
Et li autre senfuient pour chou  que desarme estoient. 	e los otros dos  que aquello vieron 	et les autres senfuyent erraument par ce qͥlz estoient desarme. 	et li autre sen fuient porre  qu il estoient desarme. 	et les autres se met tent en fuite. 	et li autre s’enfuient erraument  por ce que desarmé estoient. 	e gli altri  se ne fugono tosto  per ciò che disarmati erano. 
Et la damoisele 	fuyeron luego 	Et la damoisle 	et la damaisele 	La damoiselle 	Et la damoisele 	E la damigella, 
qui deliure se uoit. 	por miedo de no ser muertos  ca todos estauan desarmados 	qui se uoit deliure 	qui deliuree ce uoit 	qui deliuree se sent 	qui delivree se voit 	che si vide dilivera, 
se met maintenant a genouls deuant bohort  et dist. ha:  gentiex cheualiers de dies oess vous beneois  quar vous maues de mort rescousse. 	e la donçella desque aquello vido finco los ynojos ante boores  e dixo  ay jentil cauallero vendito seades de dios  que asi me librastes de muerte 	se mect a genoux deuant boort.  Haa gentilz cheualier fait elle.  de dieu soyez uous beneist  dont uous mauez de mort rescousse 	se met a genous deuant boh̾ ha gentis cheualiers  fait ele beneois soiez uos de dieu.  quant uos mauez de mort rescoce. 	se met a genoulx deuant lui  et lui dit.  Haa gentil cheualier de dieu soiez uous benoit: 	se met a genols devant Boort  et dist: «  Ha,  gentils chevaliers,  de Dieu soiés vos beneois,  quant vos m’avés de mort rescosse, 	si mette a ginocchia davanti Boordo:  Hal, gentile cavaliere, diss’ella,  da Dio siate vo' benedetto  quando vo m’avete di morte riscossa, 
Et aoures en soit diex 	e bendito sea dios 	et aoure en soit dieu 	et aoures soit diex 		et aorés en soit Diex, 	e adorato ne sia lddio 
quant il ceste part vous amena.  Car cist glouton meussent morte  se vous ne fuissies. 	que aqui vos traxo  que estos villanos me hubieran muerto  si por vos no fuera 	dont il uous amena ceste part.  Car ces gloutons meussent ia occise  se uous ne fussez 	quant ils amena ceste part.  Car cil gloton meussent ia morte  ce uos ne fussiez. 	car ces gloutens me eussent occiz  se ne feussez uous. 	quant il ceste part vos amena,  kar cist gloton m’euissent ja morte. — 	quand’elli in queste parti vo menò,  ché questi guiglioni m’avessono già morta,  se vo' non foste. — 
Damoisele ce dist bohors  pourcoi vous voloient il mal faire  Sire fait elle iou le vous dirai bien. 	donçella dixo boores  Por que señor dixo ella  yo vos lo dire  mas ante conuiene 	Damoisele fait il pour quot.  Sire fait elle ie le uous diray bien. 	Damoisele fait il porcoi.  Sire fait ele ie le uos dirai bien. 	Damoiselle fait il pour quoy.  Sire fait elle ie le uous diray 	Damoisele,  fet il,  por quoi ? —  Sire  fet ele,  jel vos dirai bien, 	Damigella,  disse Boordo,  perché?  -Il vo dirò, diss’ella, bene, 
mais que vous maies mise a sauuete 	que non aya miedo de ninguno 	mais que uous mayez mise a sauuete 	mais que uos maiez misse a Sauuete. 	mais que uous me aiez mise a sauuete. 	mais que vos m’aiés mise a sauveté. —  Coment ? 	ma' che vo' m’abiate messa a salvamento. —  Come, 
Comment fait il aues vous encore paour. 	Donzella dixo boores 	Comment fait il auez uous donc garde. 	Coument fait il auez uos dont garde. 	Comment fait il auez uous donc paour. 	fet il.  Avés vos dont garde ? — 	disse elli,  avete vo' dunque guardia? - 
					Certes, 	
Sire fait elle ia asseuree ne serai  tant que iou y sache le seignor del chastel : 	de quien auedes miedo  señor dixo ella  del señor del castillo 	Certes sire fait elle  ia ne seray asseuree tant que ie sache.  qui est le seigneur de ce chastel leans 	Certes sire faic ele ia a seur ne sera tant com ie saiche laiens le signeur de cest chastel. 	Sire fait elle ia seure ne seray  tant que ie sache leans le seigneur de ce chasteau/ 	fet ele,  ja asseur ne seraî fant  com je sache laiens le seignor del chastel, 	Certo, sire, diss'ella,  già sicura non sarò  tanto com’io sappia là entro il signore del castello, 
quar cest li plus fel cheualiers del monde  et li plus desloiaus. 	ca es el mas follon omne  de todo el mundo e mas cruel 	car cest le plus fel cheualier du monde.  Coment boort se combaty pour la damoisele. 	Car cest li plus fel cheualiers dou monde et li plus traites. 	car cest le plus fel cheualier du monde et le plus cruel 	kar c’est li plus fel chevaliers del monde et li plus traîtres. » 	ché ciò è il più fiero cavaliere del mondo  e I più traditore». 
ches paroles voient. j. cheualier issir du castel. 	Ellos asi fablando  vieron salir del castillo vn caballero 	A cest parole voyent yssir ung cheualier du chastel 	a ces paroles uoit issir un cheualier del chastel. 	Ces parolles uoient issir ung cheualier du chasteau: 	A ces paroles voient issir I. chevalier del chastel 	A queste parole vidono uscire un cavaliere del castello, 
Et la ou il voit bohors. 	e quando vido a boores 	et la ou il uoit boors 	et la ou il uoit behort 	et la ou il uoit boort 	et la ou il vit Boort, 	e là ov’egli vide Boordo 
	començo le a dar boçes 					
si li escrie dans cheualiers laissies ester la damoisele 	e a deçir don cauallero  a dexar vos conuiene la donzella 	si luy crie laissez sire cheualier la damoisele 	si li est terre.  Laissiez dans cheualiers la damoisele 	il lui escrie. 	si li escrie : «  Laissiés, dans chevaliers, la damoisele 	si-llo isgrida:  «Danzi cavaliere, 
quar vous ne lenmenrois pas  et par mon chief mar le rescousistes 	ca la non lleuaredes  e porla my cabeza 	que uous nemmennerrez pas.  par mon chief mal la rescoussistes. 	que uos nen meneroie et par mon chief mar la rescousites. 	Cheualier laissez la damoiselle et par mon chief mal la rescouistes. 	que vos n’enmenrois mie!  Par mon chief, 	lasciate la damigella,  ché vonon la menere mica,  e per mio capo male la riscoteste!».  Si gli corre suso 
quar vous le comperres  se iou puis moult chier.  Et quant bohors lentent si point vers lui  quanque il pot del cheual traire le glaiue alongie  quil auoit trait del cors a celui quil auoit ochis. 	ental Punto la acorristes  e luego se dexaron correr el vno contra el otro  e boores lo firio conla lança  que auia sacado del cuerpo del villano  que auia muerto  en tal manera que dio conel 	si luy court sus tant comme il puet le glayue esloigne.  Et boort le firrt si fort a son uenir  que lescu ne le haubert ne le garantist  quil ne luy mecte fer  et fust parmy le corps.  Et cil cheit a terre tout estandu  car plus na mestier de mire.  Et quant ceulx du chastel uoyent leur cheualier ainsi abatu 	Si li acort  quanquil puet le glaiue alongnre.  et behors retrait son glaiue del cors au ribaut  que il auoit ocis.  Si li laisse le cheual. 	Boort lentent  si lui court  tant qu il peut du cheual traire le glaiue allongnie 	mar le rescosistes!»  Si li cort  quanqu’il puet le glaive alongié;  et Boors retrait son glaîve a lui del cors a celui  qu’il avoit ocis; 	quanto ch’elli puote,  la lancia islungata,  e Boordo il fiede si duramente in suo venire  che llo scudo né llo asbergo no-llo guerentisce  che non gli metta per me' il corpo e ferro e fusto,  e que' cade a terra tutto isteso  che più nonn-à mestier di medico.  E quando que del castello vidono insi lor cavaliere abatuto,  si ve ne rimandarono immantanente uno altro per quello vendicare,  che disse a Boordo  che ssi guardi da- llui,  ch’elli il disfida,  ed e' dice  che disfida lui.  PAllora trae la lancia del corpo a colui  ch’elli avea morto,  si lascia il cavallo andare 
					si laisse le cheval corre 	
		si luy en enuoyent incontinant ung autre pour uenger celuy 				
		qui dist a boort 				
		quil se gardast de luy 				
		quil le deffioit. 				
		et il dist 				
		quil le desfie aussi. 				
		Lors trait son glayue du corps a celuy 				
		quil auoit occis. 				
		si luy laisse aller le cheual 				
Si fiert celui si durement  quil labat a terre si estordi 	Porlas ancas del cauallo a tierra asi estordido 	et le fier si fort  quil labat a terre si estourdy 	et le fiert si durement  quil labat a terre si estordi 	et le fiert si durement  quil labat a terre si estourdy 	et le fiert si tres durement  qu’il l’abat a terre si estordi 	e l fiede si duramente  ch’elli  Il’labatte a terra si stordito 
quil not pooir de lui releuer.  Ains iut illueques tous pasmes  quar il cai si felenessement  que a poi que la canoele del col ne li est brisie. 	que non se pudo leuantar  asi estaua amorteçido dela cayda  que las coyunturas del pescuezo tenia quebradas 	quil na pouoir de se releuer.  ains gist pasme  car il fu cheu si felonnessement qua ponu  que la chanole du coul ne luy eftoit brise. 	que cil na pooir de releuer.  Ains fu pasmes.  Car il fu cheus si uilainnement  qua pou quil not la chenole dou col bͥsie. 	qu il na pouoir de soy releuer:  et booit lui ua par dessus le col a cheual 	qu’il n’a pooir de relever,  ains gist pasmés,  kar il chai si felenessement  qu’a poi que la canole del col n'avoit brisee. 	che non à podere di sé rilevare,  anzi giace ispasimato,  ché fu caduto si fellonosamente  che a poco che non si ruppe il collo, 
Et bohors li uait tout a cheual par desus le cors 	e boores traxo tantas vezes el cauallo sobre el 	Et boort luy uait a cheual par dessus le corps 	et behors li ua a cheual par desus le cors. 		Et Boors li vet a cheval par desus le cors 	e Boordo gli va cavalcando per di suso il corpo 
Si que tout le debrise. 	Que todo lo quebranto 	tant que tout le debrise. 	tant que tout le debrisse. 	tant que tout le debrise. 	tant que tot le debrise. 	tanto che di tutto il dibriscia. 
Et lors est la damoisele si lie 	e la donçella  que aquello vido fue muy alegre 	et lors est la damoisele si liee 	et lors est la damoisele si lie 	Et boort a tant la damoiselle esiouye 	Et lors est la damoisele si liee 	Allora est la damigella si lieta 
que plus ne puet. 	que mas no lo podia ser 	quelle ne puet plus 	que ele ne puet plus. 	que elle ne peut plus: 	qu’ele ne puet plus 	ch’ella non può più, 
Si dist a bohort 	e dixo a boores 	et dist a boort. 	et dit a beh̾. 	et dit a boort. 	et dist a Boort : « 	e disse a Boordo: 
sire nous nauons hui mes garde. 	señor agora non auedes aqui  deque vos mas guardar 	sire nous nauons mais garde 	Sire fait ele nous nauons  mais garde ce cuige. 	Sire nous nauons mes garde: 	Sire,  nos n’avons mes garde, 	Sire, non no abiamo oggimai guardia, 
	ca eneste castillo no auia 					
	mas deste cauallero segund cuydo 					
Car iou quit quil ni a plus de cheualiers laiens que cestui. 	e agora os direlo  que me preguntastes seguramente 	car ie cuidoie  quil y eust leans plus de cheualiers 	Car ie ne cuit  quil ait mais cheualier laiens plus que cestui. 	car ie ne cuide point  qu il y ait plus de cheualiers leans 	kar je ne cuit  qu’il eust plus de chevaliers çaiens 	ch’io non credo mica  ch’egli abbia là entro più cavalieri che questi, 
